2019-09-25 10:32:21.262  INFO   --- [AWT-EventQueue-0] c.s.basestation2.BaseStation2App         : basePath: /opt/StayPrime/BaseStation/
2019-09-25 10:32:21.340 DEBUG   --- [AWT-EventQueue-0] c.s.b.i.ApplicationInstanceManager       : Listening for application instances on socket 44331
2019-09-25 10:43:40.530  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:43:47.856  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:43:55.622  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:44:00.530  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:44:01.989  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569388427082, remote - 1569387510480, delta - 916602
2019-09-25 10:44:01.989 DEBUG 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : syncCourseSettings()
2019-09-25 10:44:06.123  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:44:07.445 DEBUG 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : syncAds()
2019-09-25 10:44:11.581  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:44:18.931  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:44:28.038  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:44:31.581  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:44:32.958  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569388427082, remote - 1569388427082, delta - 0
2019-09-25 10:44:35.357  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:44:37.757  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:44:45.056  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:44:52.502  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:44:57.757  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Syncing assets
2019-09-25 10:44:59.078  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking CourseSettingsUpdated timestamp local - 1569388427082, remote - 1569388427082, delta - 0
2019-09-25 10:45:01.587  INFO 13192 --- [pool-5-thread-1] c.s.storage.services.AssetSyncService    : Checking PinsUpdated timestamp local - 1566215710797, remote - 1566215710797, delta - 0
2019-09-25 10:45:04.128  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
2019-09-25 10:45:11.426  INFO 13192 --- [pool-5-thread-1] c.s.basestation2.BaseStationTasks        : Updating service requests
